ID;PUBLISHED YEAR;TITLE;NUMBER PLAYER;PLAY TIME;AVERAGE;THUMBNAIL
171037;2016;Doctor Panic;2-9;12min;https://cf.geekdo-images.com/Th7g04a-ZwbMGhy7-6h8ng__thumb/img/TJ5zgNPdR50iyr_QTRgT5Rt51Ic=/fit-in/200x150/filters:strip_icc()/pic2851037.jpg
358622;2021;État d'urgence;1-5;10min-60min;https://cf.geekdo-images.com/GuikxMUd4hi-jXa2ZmY79Q__thumb/img/4Racl_nphvUVLjeso4KmlD_N6eQ=/fit-in/200x150/filters:strip_icc()/pic6793298.jpg
312618;2021;Flourish;1-7;20min-60min;https://cf.geekdo-images.com/SDe1rl_G4n8rrX267OKyPQ__thumb/img/iUwj8DdPsQ5Mydl1dyeZMhI6rKE=/fit-in/200x150/filters:strip_icc()/pic5659471.png
65244;2010;Forbidden Island;2-4;30min;https://cf.geekdo-images.com/JgAkEBUaiHOsOS94iRMs2w__thumb/img/5aPR8-KMbgucI_XkPE2PJaMQQsg=/fit-in/200x150/filters:strip_icc()/pic646458.jpg
318084;2020;Furnace;2-4;30min-60min;https://cf.geekdo-images.com/7UK6bLlP0Cz3EFYCqhtcSw__thumb/img/7WjwLTkySTiSMQu89ClZRhspd5Q=/fit-in/200x150/filters:strip_icc()/pic5934958.png
83195;2010;Ghost Blitz;2-8;20min;https://cf.geekdo-images.com/tvZTjFnPvt2LrY6NGSbeuQ__thumb/img/LGtpFjDazqROmznWJaJStSxkIHI=/fit-in/200x150/filters:strip_icc()/pic2034769.jpg
275044;2021;Glow;2-4;45min;https://cf.geekdo-images.com/LF53VHdWBIRFrZRYtvyslg__thumb/img/zMhJiHCItT7aXiUsaBOt4AprtYo=/fit-in/200x150/filters:strip_icc()/pic5989627.png
319793;2021;Happy City;2-5;20min-30min;https://cf.geekdo-images.com/LKCjDd_tqDPpUdCOM6i9Qg__thumb/img/Un5-NmBFbY3wo9IpUy-oNYoq1Qg=/fit-in/200x150/filters:strip_icc()/pic6256486.jpg
339906;2021;The Hunger;2-6;60min;https://cf.geekdo-images.com/P6xRtuVTPwR148SP4oIXGQ__thumb/img/BQeGzaIeQo--PHdB8r9aoP4UHmA=/fit-in/200x150/filters:strip_icc()/pic6218039.jpg
327711;2021;It's a Wonderful Kingdom;1-2;45min;https://cf.geekdo-images.com/YMJnUYqIXrOEiqVOqfhWQw__thumb/img/C5ASZG8YcdMK0PRFLTXRDAwn3s4=/fit-in/200x150/filters:strip_icc()/pic6929415.jpg
271324;2019;It's a Wonderful World;1-5;45min;https://cf.geekdo-images.com/od4vDTdXGPSVc-kjLqM11w__thumb/img/T2ukKoCUNv2LMxg5GOlOb8WTzNI=/fit-in/200x150/filters:strip_icc()/pic4651175.jpg
